tier,eval_set,rule,threshold,coverage,risk
tier1,deployment175,aps,0.763781,0.068571,0.0
tier1,deployment175,aps,0.755818,0.074286,0.0
tier1,deployment175,aps,0.755643,0.08,0.0
tier1,deployment175,aps,0.726782,0.085714,0.066667
tier1,deployment175,aps,0.726058,0.091429,0.0625
tier1,deployment175,aps,0.725414,0.097143,0.058824
tier1,deployment175,aps,0.719016,0.102857,0.055556
tier1,deployment175,aps,0.716131,0.108571,0.052632
tier1,deployment175,aps,0.713042,0.114286,0.05
tier1,deployment175,aps,0.708963,0.12,0.047619
tier1,deployment175,aps,0.704118,0.125714,0.045455
tier1,deployment175,aps,0.694187,0.131429,0.043478
tier1,deployment175,aps,0.686044,0.137143,0.083333
tier1,deployment175,aps,0.682076,0.142857,0.08
tier1,deployment175,aps,0.679632,0.148571,0.076923
tier1,deployment175,aps,0.673345,0.154286,0.074074
tier1,deployment175,aps,0.668991,0.16,0.107143
tier1,deployment175,aps,0.664089,0.165714,0.103448
tier1,deployment175,aps,0.661869,0.171429,0.133333
tier1,deployment175,aps,0.655769,0.177143,0.129032
tier1,deployment175,aps,0.654847,0.182857,0.125
tier1,deployment175,aps,0.654165,0.188571,0.151515
tier1,deployment175,aps,0.653724,0.194286,0.147059
tier1,deployment175,aps,0.645714,0.2,0.171429
tier1,deployment175,aps,0.644201,0.205714,0.166667
tier1,deployment175,aps,0.642647,0.211429,0.189189
tier1,deployment175,aps,0.640892,0.217143,0.184211
tier1,deployment175,aps,0.638197,0.222857,0.179487
tier1,deployment175,aps,0.636968,0.228571,0.2
tier1,deployment175,aps,0.632169,0.234286,0.195122
tier1,deployment175,aps,0.628482,0.24,0.214286
tier1,deployment175,aps,0.626597,0.245714,0.209302
tier1,deployment175,aps,0.626552,0.251429,0.204545
tier1,deployment175,aps,0.625294,0.257143,0.2
tier1,deployment175,aps,0.624767,0.262857,0.195652
tier1,deployment175,aps,0.621215,0.268571,0.212766
tier1,deployment175,aps,0.612033,0.274286,0.208333
tier1,deployment175,aps,0.611494,0.28,0.204082
tier1,deployment175,aps,0.609989,0.285714,0.2
tier1,deployment175,aps,0.606145,0.291429,0.196078
tier1,deployment175,aps,0.605573,0.297143,0.211538
tier1,deployment175,aps,0.605572,0.302857,0.226415
tier1,deployment175,aps,0.60504,0.308571,0.240741
tier1,deployment175,aps,0.601636,0.314286,0.254545
tier1,deployment175,aps,0.596246,0.32,0.267857
tier1,deployment175,aps,0.590716,0.325714,0.263158
tier1,deployment175,aps,0.585627,0.331429,0.258621
tier1,deployment175,aps,0.582842,0.337143,0.254237
tier1,deployment175,aps,0.58209,0.342857,0.266667
tier1,deployment175,aps,0.581452,0.348571,0.278689
tier1,deployment175,aps,0.576505,0.354286,0.290323
tier1,deployment175,aps,0.575786,0.36,0.301587
tier1,deployment175,aps,0.575735,0.365714,0.296875
tier1,deployment175,aps,0.572256,0.371429,0.292308
tier1,deployment175,aps,0.570846,0.377143,0.30303
tier1,deployment175,aps,0.570499,0.382857,0.298507
tier1,deployment175,aps,0.563524,0.388571,0.308824
tier1,deployment175,aps,0.558079,0.394286,0.304348
tier1,deployment175,aps,0.557711,0.4,0.3
tier1,deployment175,aps,0.55725,0.405714,0.309859
tier1,deployment175,aps,0.554493,0.411429,0.305556
tier1,deployment175,aps,0.554282,0.417143,0.30137
tier1,deployment175,aps,0.553828,0.422857,0.297297
tier1,deployment175,aps,0.553562,0.428571,0.293333
tier1,deployment175,aps,0.552235,0.434286,0.302632
