space,tier,alpha,clip,weighting,domain_auc,n_eff,max_weight_share,clip_value,coverage_benchmark,coverage_gap,coverage_sd,noise_band_2sd,gap_outside_band,delta_vs_unweighted,delta_outside_band,recovery_fraction_post_hoc,sets_identical_to_unweighted,mean_set_size,singleton_rate,empty_rate,full_rate,degenerate_reason,is_primary,post_hoc
bge,tier1,0.1,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.7333333333333333,-0.16666666666666674,0.022677868380553634,0.04535573676110727,True,0.06666666666666665,True,0.2857142857142856,False,4.066666666666666,0.06666666666666667,0.0,0.1111111111111111,domain AUC 0.9908 >= 0.95,True,False
tfidf,tier1,0.1,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.7777777777777778,-0.12222222222222223,0.022677868380553634,0.04535573676110727,True,0.11111111111111116,True,0.4761904761904763,False,4.444444444444445,0.06666666666666667,0.0,0.1111111111111111,,True,False
tfidf,tier1,0.1,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.7777777777777778,-0.12222222222222223,0.022677868380553634,0.04535573676110727,True,0.11111111111111116,True,0.4761904761904763,False,4.377777777777778,0.06666666666666667,0.0,0.1111111111111111,,True,False
tfidf,tier1,0.1,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.7777777777777778,-0.12222222222222223,0.022677868380553634,0.04535573676110727,True,0.11111111111111116,True,0.4761904761904763,False,4.444444444444445,0.06666666666666667,0.0,0.1111111111111111,,True,False
n/a,tier1,0.2,n/a,unweighted,,175.0,0.005714285714285714,,0.6,-0.20000000000000007,0.03023715784073818,0.06047431568147636,True,0.0,False,0.0,True,2.688888888888889,0.08888888888888889,0.0,0.0,,False,False
bge,tier1,0.2,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.6222222222222222,-0.1777777777777778,0.03023715784073818,0.06047431568147636,True,0.022222222222222254,False,0.11111111111111123,False,2.7111111111111112,0.08888888888888889,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier1,0.2,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.6222222222222222,-0.1777777777777778,0.03023715784073818,0.06047431568147636,True,0.022222222222222254,False,0.11111111111111123,False,2.7111111111111112,0.08888888888888889,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier1,0.2,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.6222222222222222,-0.1777777777777778,0.03023715784073818,0.06047431568147636,True,0.022222222222222254,False,0.11111111111111123,False,2.7111111111111112,0.08888888888888889,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
tfidf,tier1,0.2,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.6,-0.20000000000000007,0.03023715784073818,0.06047431568147636,True,0.0,False,0.0,True,2.688888888888889,0.08888888888888889,0.0,0.0,weighted and unweighted sets identical,False,False
tfidf,tier1,0.2,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.6,-0.20000000000000007,0.03023715784073818,0.06047431568147636,True,0.0,False,0.0,True,2.688888888888889,0.08888888888888889,0.0,0.0,weighted and unweighted sets identical,False,False
tfidf,tier1,0.2,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.6222222222222222,-0.1777777777777778,0.03023715784073818,0.06047431568147636,True,0.022222222222222254,False,0.11111111111111123,False,2.7111111111111112,0.08888888888888889,0.0,0.0,,False,False
n/a,tier2,0.05,n/a,unweighted,,175.0,0.005714285714285714,,0.9777777777777777,0.02777777777777779,0.01647508942095828,0.03295017884191656,False,0.0,False,0.0,True,2.6,0.17777777777777778,0.0,0.0,,False,False
bge,tier2,0.05,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.9777777777777777,0.02777777777777779,0.01647508942095828,0.03295017884191656,False,0.0,False,0.0,False,3.466666666666667,0.08888888888888889,0.0,0.08888888888888889,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.05,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.9777777777777777,0.02777777777777779,0.01647508942095828,0.03295017884191656,False,0.0,False,0.0,False,3.577777777777778,0.06666666666666667,0.0,0.1111111111111111,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.05,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.9777777777777777,0.02777777777777779,0.01647508942095828,0.03295017884191656,False,0.0,False,0.0,False,3.533333333333333,0.06666666666666667,0.0,0.1111111111111111,domain AUC 0.9908 >= 0.95,False,False
tfidf,tier2,0.05,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.9333333333333333,-0.016666666666666607,0.01647508942095828,0.03295017884191656,False,-0.0444444444444444,True,-1.5999999999999976,False,2.911111111111111,0.15555555555555556,0.0,0.08888888888888889,,False,False
tfidf,tier2,0.05,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.9333333333333333,-0.016666666666666607,0.01647508942095828,0.03295017884191656,False,-0.0444444444444444,True,-1.5999999999999976,False,2.911111111111111,0.15555555555555556,0.0,0.08888888888888889,,False,False
tfidf,tier2,0.05,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.9333333333333333,-0.016666666666666607,0.01647508942095828,0.03295017884191656,False,-0.0444444444444444,True,-1.5999999999999976,False,2.911111111111111,0.15555555555555556,0.0,0.08888888888888889,,False,False
n/a,tier2,0.1,n/a,unweighted,,175.0,0.005714285714285714,,0.8888888888888888,-0.011111111111111183,0.022677868380553634,0.04535573676110727,False,0.0,False,0.0,True,1.8222222222222222,0.37777777777777777,0.0,0.0,,False,False
bge,tier2,0.1,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.9111111111111111,0.011111111111111072,0.022677868380553634,0.04535573676110727,False,0.022222222222222254,False,1.99999999999999,False,1.9777777777777779,0.3111111111111111,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.1,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.9333333333333333,0.033333333333333326,0.022677868380553634,0.04535573676110727,False,0.04444444444444451,False,3.99999999999998,False,2.022222222222222,0.28888888888888886,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.1,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.9111111111111111,0.011111111111111072,0.022677868380553634,0.04535573676110727,False,0.022222222222222254,False,1.99999999999999,False,2.0,0.28888888888888886,0.0,0.0,domain AUC 0.9908 >= 0.95,False,False
tfidf,tier2,0.1,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.8444444444444444,-0.05555555555555558,0.022677868380553634,0.04535573676110727,True,-0.0444444444444444,False,-3.9999999999999702,False,1.7333333333333334,0.4888888888888889,0.0,0.022222222222222223,,False,False
tfidf,tier2,0.1,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.8666666666666667,-0.033333333333333326,0.022677868380553634,0.04535573676110727,False,-0.022222222222222143,False,-1.99999999999998,False,1.6444444444444444,0.4444444444444444,0.0,0.0,,False,False
tfidf,tier2,0.1,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.8444444444444444,-0.05555555555555558,0.022677868380553634,0.04535573676110727,True,-0.0444444444444444,False,-3.9999999999999702,False,1.6222222222222222,0.4888888888888889,0.0,0.0,,False,False
n/a,tier2,0.2,n/a,unweighted,,175.0,0.005714285714285714,,0.7555555555555555,-0.04444444444444451,0.03023715784073818,0.06047431568147636,False,0.0,False,0.0,True,1.1111111111111112,0.8444444444444444,0.022222222222222223,0.0,,False,False
bge,tier2,0.2,none,weighted,0.9907918367346938,145.01498865599234,0.01966189210075876,,0.7555555555555555,-0.04444444444444451,0.03023715784073818,0.06047431568147636,False,0.0,False,0.0,False,1.0888888888888888,0.8222222222222222,0.044444444444444446,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.2,p95,weighted,0.9907918367346938,153.93147878786266,0.01109779067532803,0.9531514252741144,0.7555555555555555,-0.04444444444444451,0.03023715784073818,0.06047431568147636,False,0.0,False,0.0,False,1.1333333333333333,0.8222222222222222,0.022222222222222223,0.0,domain AUC 0.9908 >= 0.95,False,False
bge,tier2,0.2,p99,weighted,0.9907918367346938,148.67533802286124,0.015089541978855345,1.321736067854689,0.7555555555555555,-0.04444444444444451,0.03023715784073818,0.06047431568147636,False,0.0,False,0.0,False,1.0888888888888888,0.8222222222222222,0.044444444444444446,0.0,domain AUC 0.9908 >= 0.95,False,False
tfidf,tier2,0.2,none,weighted,0.929469387755102,124.4368300738608,0.019482212356028032,,0.7333333333333333,-0.06666666666666676,0.03023715784073818,0.06047431568147636,True,-0.022222222222222254,False,-0.5,False,1.0666666666666667,0.8444444444444444,0.044444444444444446,0.0,,False,False
tfidf,tier2,0.2,p95,weighted,0.929469387755102,129.13203289725715,0.014216001118375296,1.5337934982401253,0.7333333333333333,-0.06666666666666676,0.03023715784073818,0.06047431568147636,True,-0.022222222222222254,False,-0.5,False,1.0666666666666667,0.8444444444444444,0.044444444444444446,0.0,,False,False
tfidf,tier2,0.2,p99,weighted,0.929469387755102,125.30097049242818,0.017219306118670584,1.8872938928029708,0.7333333333333333,-0.06666666666666676,0.03023715784073818,0.06047431568147636,True,-0.022222222222222254,False,-0.5,False,1.0666666666666667,0.8444444444444444,0.044444444444444446,0.0,,False,False
