signal,test,alpha,window,n_windows,count,rate,ci_low,ci_high,expected_tickets_to_alarm,null_source,exact_marginal,at_conditional_bound,q90_over_references,undefined_p,eligible
A,ks,0.05,50,20000,2180,0.109,0.10471303749424468,0.11340098830828167,458.7155963302752,synthetic_exchangeable_n175,,,0.20500000000000115,0,False
A,marginal_binomial,0.1,50,20000,1380,0.069,0.06552521063739343,0.07260069858214087,724.6376811594203,synthetic_exchangeable_n175,0.07097825688685144,0.17128893930185496,0.2,0,False
A,conditional_binomial,0.1,50,20000,346,0.0173,0.015538395777443507,0.019203846955831036,2890.1734104046245,synthetic_exchangeable_n175,0.016788332328209754,0.04400484640581819,0.05,0,True
A,ks,0.1,50,20000,2069,0.10345,0.0992621483831201,0.10775351634395167,483.3252779120348,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.2,50,20000,970,0.0485,0.04556361367675368,0.05156850426844107,1030.9278350515463,synthetic_exchangeable_n175,0.0480845705455919,0.11795583315156596,0.15,0,False
A,conditional_binomial,0.2,50,20000,239,0.01195,0.010490337699235075,0.013553990646185055,4184.100418410042,synthetic_exchangeable_n175,0.013796546816381983,0.03567576734458886,0.05,0,True
A,ks,0.2,50,20000,2161,0.10805,0.10377974551905644,0.1124345606625634,462.7487274409996,synthetic_exchangeable_n175,,,0.2,0,False
A,marginal_binomial,0.01,100,20000,1067,0.05335,0.05027556286288861,0.05655507294615165,1874.414245548266,synthetic_exchangeable_n175,0.04716451431775459,0.14347435604340947,0.2,0,False
A,conditional_binomial,0.01,100,20000,417,0.02085,0.018914682136918593,0.022926295303009648,4796.163069544365,synthetic_exchangeable_n175,0.016819698120643767,0.042689519594998684,0.05,0,True
A,ks,0.01,100,20000,3755,0.18775,0.18235855294797443,0.19323236790397658,532.6231691078561,synthetic_exchangeable_n175,,,0.4,0,False
A,marginal_binomial,0.05,100,20000,1591,0.07955,0.07583612415646582,0.08338663082402535,1257.071024512885,synthetic_exchangeable_n175,0.07758615091481047,0.21878939799309902,0.25,0,False
A,conditional_binomial,0.05,100,20000,255,0.01275,0.011241247041410623,0.014402748824703947,7843.137254901962,synthetic_exchangeable_n175,0.01297186956939933,0.033252833810610526,0.05,0,True
A,ks,0.05,100,20000,3608,0.1804,0.175092660398044,0.1858004094150613,554.3237250554323,synthetic_exchangeable_n175,,,0.35,0,False
A,marginal_binomial,0.1,100,20000,1384,0.0692,0.06572047245153206,0.07280537677747453,1445.0867052023123,synthetic_exchangeable_n175,0.06710152587099216,0.18762308785800394,0.2,0,False
A,conditional_binomial,0.1,100,20000,348,0.0174,0.015633257479441807,0.019308948655103377,5747.126436781609,synthetic_exchangeable_n175,0.016159407610450538,0.04307203478443287,0.05,0,True
